Suggest_Solutions,Comments
0,"it has a good structure, choice of names of the files is appropriate and readable"
0,"The pre-configured admin details are not mentioned on Git . Therefore, I am unable to test admin"
0,User Interface is nice. Team has tried keeping the UI as per standards and easy to access to user. They have also added validation. Team could give more clear and understandable errors.
0,"No credentials for admin available in the README. Can't access the admin section and hence cannot grade it. � Also, no roles have been defined in the signup form. Hence, cannot identify a general user as an admin/realtor/hunter. � Hence unable to review the access control methods of the project. � �"
0,"(1) https://nameless-everglades-55236.herokuapp.com/users/sign_up does not let you enter Roles� which then fails the user signup (2) No details of admin given� � (3) Tried logging for companies and got an error, https://nameless-everglades-55236.herokuapp.com/companies With some combinations, was able to login but then again when tried updating account got� ""error 1 error prohibited this user from being saved:"", I suspect that is because role field does not have a value� (4) List of users being showed for creating a new house� (5) Issues in sending messages tried sending a message got error ""https://nameless-everglades-55236.herokuapp.com/messages"" �"
0,"The UI looks appealing and very easy to follow. The choice of layout properly differentiates various class of functionalities possible with the application. Yet the UI lacks the below aspects 1. There is no concept of user role in the signup form. Though there is role field, it always shows empty. 2. Few links in the layout are broken. 3. Few fields like the phone number can be made optional for creating users which eases the process."
0,i could not find admin credentials in read-me file� rest of the interface is good
0,Sign up for roles not available Admin credentials not provided Can not sign up as realtor/hunter from UI. Hence can not verify any of the functionalities Can not find search feature. README file is not informative. Too short.
0,The interface is well designed and has a good�UI but the basic functionalities are breaking. Unable to login as Hunter/Admin and can perform their respective operations. I assume the default user is the realtor.(as after login I can only post/add new house). �
0,"I am unable to sign up. I am getting the following error : �  We're sorry, but something went wrong.  If you are the application owner check the logs for more information. Therefore I am unable to test any of the features."
0,"They have tested initial testing but functional testing of functionalities is not done. Once we log in , we do not understand which user is it. Realtor house Hunter. �"
0,No
0,"The team has tested parts of different models, but none of the models is thoroughly tested for functional verification."
0,I could not see the list of test cases
0,Realtor user can perform basic functionalities.
1,Please submit the with pre-configured users. As I am unable to test anything.
0,Yes. we could see updated git. Hence i can�conclude that they are updating code regularly.�
0,Somewhat. Since I can see the commits were made in 2 days only
0,There were 24 commits in 6 days which means that they have been working in last few days and have been doing check-in regularly since they started work.
1,"The team has effectively worked on multiple commits, yet these suggestions need to be followed � Suggestions: � 1. Commit message carries great importance for the first level of code change analysis. So this has to explain the changes to a decent extent. Commit messages in this repository is vague; if they are meaningful, it reduces some effort in analysing the code timeline."
0,"�I can see 28 commits , which is descent"
0,Git has been used properly but needed team contribution. There is only one committer.�
1,"Unfortunately, I am unable to view this Git Repository. This is, most likely, due to the fact that the repo is set to private and only available to those currently collaborating. I would suggest making the setting adjustment for the repo to be public so reviewers and TA's can grade the work that has been�completed. When coding, take note of the stylistic norms of Ruby regarding method calls, parenthesis, and syntax best practices. Additionally, maintain a consistent indention scheme for ease of review."
0,GitHub link above gives 404 error. Please fix it.
1,GitHub link is not redirecting. Shows 404 not found. Please deploy the application on any of the platforms.
0,No GitHub link available as their page itself in not working by showing it is not available.�
0,Github link is broken and the project has not been deployed. Don't know how to review this project. �
0,"The Git link provided redirected me to a page saying ""404 Not found."" Since there isn't any links of the deployed project, i could not test it."
0,The project is not working at all. �
1,"There was no link included to allow a reviewer access to the deployed application. When you are finally able to submit the appropriate working link, I would suggest having a README that contains the suggested Ruby content, along with, the information encouraged by the project write up.� Additionally, I would suggest having a person not participating in the course to take a look at your application. He/She may be able to offer a way to gauge the ease and effectiveness of your site. They may also offer valuable insight into feature placement and page flow."
0,Their GitHub Link is unavailable and non functional. They don't seem to have uploaded on Heroku App.�
1,"The git may very well contain the appropriate testing files; however, I am unable to view the due to the privacy settings of the repository. I would suggest that your try and test those models/controllers that have the most complexity to�increase the�level of confidence in your product. Make sure to test the validations and boundary cases thoroughly, especially model attributes that have restrictions on things such as length and type.� There are also several instances in the project where various users can accomplish the same tasks but with slight differences. It will be to your benefit to pay close attention in creating tests that can replicate these tasks.�"
0,Their GitHub Link is unavailable and non functional. They don't seem to have uploaded on Heroku App.
0,"The git link is not correct. Also, the project is not deployed."
1,Unable to view the git repository. Git is truly your friend during development. Make a habit of really committing with useful commit messages and at appropriate feature development times. My team and I found that having different commits for each feature implementation gave many options for points in time that we could revert back to in the invent that something went awry.
1,You are following good ruby coding practices. For some places where you are comparing for example in login_controller.rb if params[:login][:email] == 'admin@admin' && params[:login][:password] == 'admin' You can use a constant file where you can write these 'admin@admin.com' and use that constant. Its not a good practice to write it like this. Otherwise everything seems good.
0,The code is as per coding practices. Nice first attempt.
0,Well structured code using MVC pattern. �Couldn't find admin credentials mentioned on readme.�
0,Looks good to me. The Ruby DRY code approach is followed throughout.
0,the github code repository is concise and well maintained. The code base follows goo Ruby and Rails coding practices. The MVC architecture skeleton is implemented in an elegant manner. The desired features need to be implemented and the security issues need to be fixed.
0,"Ruby way of writing ""if !some_condition"" is ""unless condition"" Couple of large if else structures that could be broken down."
0,easy to understand.
0,The back button is a loop. I can never traverse back to Dashboard
0,User view is easy to understand and navigate. There are certain links which don't work�and doesn't load any page. �
0,"Yes, it is very intuitive and easy to use."
0,test cases are generated through scaffold.
0,I am unable to go back to dashboard. Hence I am unable to test the functionalities of House Hunter. � The back button is a major problem.
0,only controller tested
0,"not all functionalities are working, but the once which are working are end to end tested and works fine. there are few changes which are required - Cannot create an inquiry� Cannot check the potential buyers cannot list a house cannot search a house �"
0,The team has not implemented a testing module as of yet.
0,You�are not�testing anywhere yet.
0,Test skeletons are present. Doesn't look like tests are added yet.
0,committed throughout the period to avoid merge conflicts.
0,"The functionalities have been implemented , but the back button is a major problem"
0,"yes, timely pushing of code and creation of branches to avoid merge conflict"
0,The team has a well documented history of commits for the code repository
0,You guys started pretty late. But overall great effort. Great UI.
1,"Yes, the code was written well but a lot of functionalities�related�to the session was not added."
1,"Overall the following things can be improved: 1) The primary key for the real estate company should be auto generated. This is done automatically by the rails framework, so maybe you can remove the code from the view which asks for the user to select the primary key while creating a company. 2) Whenever there is a reference to a foreign key in a model, you can validate and use that reference by following the format model_id, where model is the entity of your foreign key. Eg. If house has foreign key of realtor, realtor is the entity of your foreign key, hence you can reference the realtor as realtor_id in your house model. This is because rails follows convention over configuration, and this is the naming convention with respect to foreign keys."
0,good coding style.
0,Navigation between pages is not defined well.�
0,Login page is not available. Also back navigation from any page is not present. Very difficult for user to come back to the last page visited.
0,"The user interface is very pimitive. The team could have done much more. They have not designed it very well. Although I was not looking for graphics, but the element placement could have been much more improved.�"
1,"The user interface is done as it would be in a basic ruby application, which is good. There is no login functionality, this is mentioned in the README which was helpful. Some functionalities which could be improved are :  1)���� 1)� When I try to add a new house hunter from admin, I get a Contact Method is not included in the list error. As a user, I don�t know what kind of values your system is expecting in this field, so it might help to probably provide a dropdown selection element and put in your values there. In this way, the user will always select a value which your system is expecting. If there are a finite number of values, you can just hard code them into the html element, else pick it up from the db and populate your dropdown as such. 2)����� 2) When I click on back from the new househunter url, I am directed to show all house hunters url. You could improve this by updating the link-to for this back button by providing it with the user_url, or you could detect which is the current user logged in (Realtor/House Hunter/ Admin) and accordingly redirect to that role�s home page url."
1,"The login page is not made. All the admins information is listed on the first page which should not be allowed. It was difficult to understand if I was under the admin's page, realtor's or hunter's page."
0,"Deployed on Heroku. Interface is not friendly, but thr README file explained some of it."
0,Decent coding practice
0,"The app's indentation, method names, and line separation seem to match solid Ruby style guidelines."
0,From what I see it seems to be following the practice we have been using in class
0,"�Yes, the source code follows expected RoR style. The directory names and project structure also follow RoR conventions. Good job!"
1,The code base is very well written and commented. The code has been done with good coding practices. The only point to note would be to update the Readme to be more informative.
0,Good Rails coding practice has been implemented. In Model as well Controller we can see variables names that shows the relation to overall module and model.�
1,"The user interface is nice. I suggest you move the search button in the houses screen to the left. Also, ""yes"" and ""no"" would probably be more user-friendly than ""true"" and ""false"" for the basement condition. The new user window was very intuitive and powerful. Note: I found a bug in this window: changing the admin account with ""REALTOR"" checked causes an error. The error screen was graceful, however. Also, please use radio buttons for ""HUNTER"" or ""REALTOR"", not checkboxes. Please also include the type of the user in the users window."
1,The UI is quite good but the design can be improved. The application allows a realtor to add company details while signing up which does not make for great design. Without authentication no user should be allowed to perform any functionality.
0,No CSS has been applied. Links are redirecting to pages instead of just performing the action
0,"�the links tell you what page you will go to or what action you will do. It's not pretty, but it works enough"
1,"�UI is easy to use, but not well described in the README. Please add brief Test Cases to demonstrate expected functionality."
1,The interface is basic and no extra styling is done. But overall the web application is easy and intuitive to use. The Read me� file of the github repo should be updated to make it more � detailed to use. �
0,"The interface is intuitive. Specially, they have very good form structure for realtor as well as new users, and house hunters.�"
0,It appears minimal controller testing has been performed.
0,No tests have been written for the application
0,"No testing, but at least they mentioned it in the readme."
0,No testing module found!
0,The team used mutliple branches and many commits throughout the project to increment on the codebase.
1,"While the team did push changes to the project, there are 95 commits which are unnecessary. Instead of pushing every change to the final project, the team could have combined a few of the changes and pushed them all at once to make for better record of the changes made."
1,Teams looks fairly active but the project progress does not correspond to the number of commits made in the git repository
0,�They have a lot of commits so they were always working on it
0,"Yes, it looks like sizable commits were made before the 24th."
0,Yes 95 commits.�
0,Testing has not been done for any modle or controller yet
0,No they have not. They said they will for the final submission
0,All commits happened at deployment.
0,"The interface is good, and the README�provides good documentation."
0,Some of the controllers have tests
0,Couldn't find any issues respective to Style Guidelines
1,"The User Interface was working as described in the README file.� The UI functionality don't have any issues apart from the one noted in additional comments If team would have given some assets/stylesheets config,� The UI would have been great on the looks as well"
0,Did not see a SPEC folder in the GIT
0,There were 9 commits overall in the GIT
0,"The code follows the good coding�practices. However, there are some instances where I found commented lines of code in the controller. Ex. house_hunters_controller.rb�lines 23-25 and users_controller.rb�function switch_role"
0,"The user interface is quite intuitive to use. I had a very minor suggestion. I found a case where the go back link was missing and thus, I had to click on the dashboard link to go back. Ex. After I click on view companies, there's�no go back link.� Overall, I feel you did a really good job. For example, while switching the role, you gave an option to edit the roles as well. As well as a delete account functionality.�"
0,companies_controller along with a few other controllers are populated with the tests generated by scaffolding. No tests in models found.
0,All commits were found to be done on a single day. i.e. October 1.
1,"The team has a proper concern on MVC model. Each model/controller/view has a specific role which has not been repeated in other parts of the code. � Still, I am giving 3/5 because 1. The project has neglected DRY principle in many of the instances.�This has resulted in a bulkier code. 2. As many authors�say, a code looks good if it appears like reading a novel. This appearance of a novel like look is missing in many places which can grab other user's attention. 3. The code would have better readability if sufficient amount of comments are included in the code. Also, if the role of each model/controller/view is documented in the code file at the beginning then other contributors may feel easy to follow the code."
1,"The README file is developed to include all the necessary details about the project as a whole. Great work on documenting. The UI is simple with properly designed tabs. Few enhancements could include 1. The back button is missing in a few places which might be useful for easier navigation. 2. While creating a company, if size is modelled as a drop down to take a range of values then UI would be simpler."
0,"The team has tested parts of different models, but none of the models is thoroughly tested for functionality verification."
1,"I can see that there are multiple commits on a single day. This might imply that team members have worked remotely without using git. Suggestions: 1. Make complete use of git when working remotely. 2. Keep pushing changes periodically to avoid any code loss and to have a timeline of changes. 3.�Commit message carries great importance for the first level of code change analysis. So this has to explain the changes to a decent extent. Commit messages in this repository is vague; if they are meaningful, it reduces some effort in analysing the code timeline."
0,"Very nice code, and almost every functions that test required are finished."
0,the interface is easy to use and it is wll described in the Readme file.
0,the test for controller and model has been done. and all the details have been included into the Readme file.
0,Good set of directions in readme.
0,Most of it default UI provided by rails but is easy to use.
0,Basic functionality seems to be working. But no explicit test cases found.
0,There were continuous code pushes.�
0,You guys started pretty late seeing from your commit history.
0,Most of the commits were early this week.
0,well done work except the lack of search� the README file and the UI is not so good� anyway It's a good work!�
0,Only basic validations have been implemented. Tests generated through scaffold are available.
1,Testing for controllers has been completed. Unfortunately test cases for models were not worked on. A suggestion could be to test validation of inquiry if corresponding realtor or house hunter gets deleted.
0,You haven't implemented testing yet. I didn't find anything in test files. Probably you'll do it in the next phase.�
0,house hunter functionalties are chacked but there is scope for improvement
0,"Multiple controllers are thoroughly tested, but no models appear to be properly tested."
0,Could not find commits for Test files.
0,"Several of the required functionalities are available, though many links are not working."
1,"Links to create new functionalities are all in place and working perfectly. However, I would like to suggest the overall redirection of the user to various places in the app would greatly improve user experience as using the back button again and again in the browser tends to become irritating after a while."
0,"Its deployed on heroku, but haven't written about what all features you have completed and what all features are left to complete. Also there are few pages where you can add a link to go to main menu. Sometimes I have to go back 3-4 times to reach main menu."
0,"The user interface is very confusing. It is difficult to get to the sign up page to begin with, and then the messages Isrealtor and Ishousehunter are cryptic to actual users (anyone other than computer scientists). It is very difficult to follow where the links take you on the website and what exactly you are looking at at any given moment."
1,"You are following good coding practice. I have a suggestion that you can move realtors, admin and house hunters as childs of user. That is admin belongs to user, realtor belongs to user etc. Currently you have all the information in user model."
0,"While the code is organized well and seems to follow the Model View Controller design pattern, the project doesn't seem to make good use of the relational database. There are multiple models/controllers (specifically the list of potential buyers) that are not necessary at all because of the relational database."
0,UI is fine but cannot access readme file
1,Comments and indentation at a couple of places can be update.
0,"house_hunter_accounts_controller.rb line 28: meaningless line break. house_list_controller.rb line 8,98: meaningless line break. realtor_accounts_controller.rb line 28: meaningless line break. session_controller.rb line 6,19,20: Wrong indentations, line 9: No parentheses. user_controller.rb line 13:meaningless line break, line 52: No parentheses. �"
0,Have used DRY principles. Follows good coding practices.
0,"Yes the UI is good and easy for navigation, usage."
0,Readme needs to be updated. UI looks good but UX can be worked upon.� �
1,"Application is deployed on Heroku, but the user interface does not compliant with the requirement(your home page contains house information and search function before user signing in). Also it is not described in the README file."
0,The UI is good and intuitive. Good use of colors and html features.
0,"Yes, tests are done for many models and controllers."
0,"Test skeleton present. However, tests can be made in depth."
1,Basic tests are written. Could improve by adding specific application logic.
0,Yes there are lot of commits over many days from multiple contributors
0,"Yes, there are many commits which added new features and fixed some bugs.�"
0,"Yeah, they have done the project with even number of commits throughout the duration."
0,"The link provided is not working. So, no way of finding out"
0,"UI is easy to understand, but problematic to use.� Admin must use user ids to create hunters or realtors or inquiries and the display is via user�IDs too. Signup page redirect to show all signed up users. From there, any one who is not logged in can delete users. Same user can be added as house hunter any number of times with separate entries. No validations are added (I can choose role no. 5 for signup), and no error messages have been provided. Passwords are in plain text. In some cases, wrong notices are displayed - create user with wrong info gives ""User account was successfully created. AAA!"" which is incorrect as user was not actually created.� Back to your page links do not work"
0,There is no code apart from a basic scaffold generated.� Commit ID Reviewed :�7fe864078b219bebacc0046b8f45c6e25cc1544c
0,"The database schema only consisted of the users table, and the CRUD functionalities on the MVC related to it. Due to the less amount of content to review, a proper justification for this question is a bit tough. Even though the amount of code was less, but it followed many of the good coding practices of ruby on rails, except a few. For example, he code lacked any sort of documentation or comments. It makes it tough for the reviewer or any other programmer to make sense of the code. But apart from that, the practices seemed fine. The variables were named appropriately, functions were named effectively, and the classes were defined definitely.�"
0,In test.html.erb you shoud not write code like this:�<%= User.find_by(id: session[:user_id]).name %>
0,The code follows mvc architecture and practices in an organized way
0,"There is not much implementation by the team, hence I cannot comment much on it"
1,"Only user model in app/models, rest of the models such as house, realtor, real estate company are missing Same with controllers. � In user model, could add validation for email format� � I would suggest user gem 'devise' for user management and 'rails_admin' for admin functionality.� This helps as the gems taking control of implementation and the developers can concentrate on business logic �If back is clicks on user edit , the user is logged out instead of going to profile page�"
1,"As this project is in the early stages of development, the UI is minimal. The title is prominently displayed as a header on the home page and subsequent pages to clearly indicate what this application is ""Real Estate manager"". The login and signup links are clear as to purpose; however, the intent in the presence of the words ""Hello World"" beside�them is unclear. Additionally, the login and signup page functionalities are easily interpreted. I would suggest that the user profile actually display what kind of user they are rather than a number that only has meaning to the system, as well as, a log out link/button in the header for a user as he/she traversed your application. The README file only contains the fact that there is no pre-configured administrator. I would recommend including the suggested context from the Ruby generator and the project write up."
0,"The interface was very easy and simple to use, and was very user friendly, but it lacked intuitiveness on some levels. Also, the readme file didn't state anything about the UI.�"
0,Apart from the login functionality nothing is done. Commit ID :�7fe864078b219bebacc0046b8f45c6e25cc1544c
0,"For sign up, I don't understand what is the difference between ""I am shopping for a house"" and ""I am a realtor and I am shopping for a house"".�"
0,"The README file isn't as descriptive as it should be. And UI is not very well designed. Printing ""Hello World"" on the home page seems to be a debugging strategy but it needs to be removed. And proper links needs to be inserted. Example: Link of 'Logout' is not present"
0,Only user/realtor login has been implemented yet. Other functionality is missing. README stated that admin has not been configured.�
0,"The user interface looks intuitive, as it has options for signing up with different roles"
1,"The UI is simple however, because of the lack of functionality cannot be assessed properly. One suggestion�would be to�rename the label of 'back' button to 'logout'�to make it�more intuitive."
0,No tests have been written
0,NO I don't think they have submitted any test model.
0,They have tested for the models and controllers constructed.
0,"No, all tests are missing�"
0,I couldn't find any test method�other than the one in the sessions_controller_test class.
1,"The code follows ruby and rails convention, but there are�multiple commented files in the project such as logins.coffee and many more which have not been used in the application.�"
0,Seem to be following standard practices.
1,"The database schema, especially for the login / signup functionality is very well implemented, and includes lots of features that weren't asked for at the first place. So the extra hard-work is very well appreciated. The db design is very cohesive and seems fool-proof. The rest of the programs and the functionalities follow most of the principles for good ruby on rails coding practices. But, the one thing I find missing was the lack of proper documentation within the code. Given the short time frame, not having extensive documentation and comments within the code is excusable, but there were certain points where I had to go through the whole code to realize what;s happening, which could have been avoided if there was proper commenting inside the code.�"
0,"Yes, the code has the parameters well defined for all the users and has the correct MVC Layout as expected.� For instance, they seem to have created separate MVC architectures for Houses, Inquiries, Interests, Companies and Users. This goes to show that they have a layered approach on access and privileges.� Also, the code is written in a very clean and formatted style with the variable definitions to be self-explanatory of the functionalities they perform.�"
1,"The team has followed good ruby coding practices. All the code is neatly written and well indented. However, the code has no comments."
1,"The user interface lack multiple navigation functionalities such as it does have any cancel or back button.�So, if a user tries to move back or cancel while creating a company, he would be stuck and would not be able to move to any other tab."
0,Good job done here! You have listed the features available to test.
0,"Admin credentials in README file not working therefore not able to test admin part. UI is confusing, there are multiple success messages displayed. Only ids are displayed in house list and no other info"
1,"The user interface looks pretty, is clean and intuitive. But the placement of menu buttons was rather ""not-obvious"". It took time for me to figure out login / signup buttons, and I also had to actively look for buttons to perform actions after signing-in, which isn't actually much user friendly. Though it may seemed cliche, but I think it is very user-friendly to have action buttons on the content of the web-page, rather than having them at the top inside the header. But apart from that, the simplicity and the look and feel was pretty good."
1,"It is surely a very intuitive user interface because the ease of navigation is generally very well defined and the routes.rb file in git hub makes the session linkage explicit.� Even, so one does fail to understand the empty blanks on their login page since there aren't any blanks at all. So, we get easily confused on what to do. Sign up is not validated for any functionality be it user or admin or realtor and we don't know what to do.� Luckily, the README File does resolve the dilemma and help us to follow the steps.�"
0,The app is deployed very well and is very easy to use.
0,"All the basic features implemented for admin,house hunter and realtor is functional. �"
0,"No, testing portion of the code seems empty. No testing has been done"
1,"The login / signup module has lots of bugs. Like when a user tries to create an account with an already existing username, the application crashes. Also, a user cannot signup as both, a realtor and a househunter. Moreover, there isnt any validtion for the length of phone number, nor the validation for the email address is correct. (for example, it accepts aa@a as a valid email address). So yes, these functionalities in the login signup module could be improved, and these does not seem thoroughly tested. But the search functionality for the houses seemed to work pretty well, and as expected."
1,"Well, we can say that they have indeed tested the models they have defined in their README file on GitHub. The definitions of the functionalities in the 'db' folders and the controllers folder makes it very easy to follow how they have structured the code. Also, the way the houses are added, the redirection the houses to the links such as CMU and NCSU websites is very intuitive and well thought out, and thus barring out a few minor mistakes in linking and page definitions the code has a good ability to run for the defined cases specially for the Admin to be failsafe. Only, one complaint though, the whole structure does crumble when one sees that they have allowed the admin to be DELETED. This is their biggest loophole.�"
0,"Although scafolded code exists, there are no testcases written"
0,There are 67 commits made during the tenure of the project by all the team members. The team has worked on git since the start of the project.
0,"Yes, 67 commits. It seems they have been pushing changes regularly"
0,"Yes, the commits were regular. After the project was assigned, there were several commits on a weekly basis, and as the deadline neared, the frequency of the commits kept increasing in an orderly manner. There was no last minute rush, and the development of the project seemed pretty well planned."
0,"Yes, as seen from the number of commits on each section of their GitHub profile, not only have they meticulously made a number of changes on Repo, but they have also updated what all changes they made against the files. This is a very neat practice in my opinion and shows that they have put ample effort to structure the code. Moreover, they have updates the GemFile multiple times so as to make it run for the Heroku app which is a must thing to do and a challenge we faced too.�"
0,"Yes, there are git commits and pushes after initial commit as well."
0,"While the application has a similar�layout as a typical Rails application, I noticed there were no�migrations in the DB. Also, the README was not formatted very well and didn't tell me much about how to install the project locally."
0,The code seems to be following the examples in cookbook app.
0,"The code follows on the lines of good ruby on rails practices. However, I can see no migrations in the db folder. The readme file contains sql statements for table completion which look to be correct."
0,"�The source code and project structure seems fine, but most of it still looks scaffold generated. RoR conventions have been maintained."
0,Yes. Timely commits with comments.
0,The code written was clear and I believe that it follows good Ruby and Rails coding practices to a certain extent.
0,It is done well and I can say it is a indeed a good ruby and rails coding practice
0,"I�was not provided a link, so I cannot see if the UI is intuitive."
0,The website is not up yet. I looked through the code. Looks like there are still some functionalities not implemented.
1,"Unfortunately the app has not been deployed on a cloud platform and neither is there any description in the readme file. I suggest to use heroku as your deployment platform. You may want to look into this video here =�https://www.youtube.com/watch?v=5kVtmnZNC8w&feature=youtu.be � Also if you deploy in heroku, it does not support sqlite or mysql in production. Hence you will need to migrate your DB to postgres. Check out this link for help =�https://devcenter.heroku.com/articles/sqlite3"
0,"If it is deployed, it is not made known."
0,Please provide the link to the deployed website.
1,The link to the deployed application was not posted and README file does not have the required information such as admin login details or how to access various features in the application.
0,I do not see the link in the readme file for the deployment in the cloud
0,"I dd not find the link. I viewed the code on Github, it seems work.�"
0,"While there are some tests for controllers, they�were�only the auto-created tests by�Rails. There were test�files for the models, but not test cases present."
1,"Controllers have a few test cases, models have none. Some of the suggested test cases could be as follows-: company_test.rb -> company should not be deleted if not owner of company (realtor should only be able to delete company if he created it)"
0,�Only scaffold generated tests for models and controllers.
0,Yes
0,no test cases found in the test folder
0,I have seen they keep updating the github
0,There were changes pushed to the branch throughout the project period.
0,"�No, the initial commits were made the Thursday before the 1st submission was do. It is great to see additional commits since the 1st submission!"
0,The first commit for the project was made only 4 days before the deadline. since then the team kept continuously pushing their changes.
0,I can see 28 commits with a good distribution over the time span.
0,Git link is not working. the account might be private
0,The code follows common ruby rails guidelines
0,"It has not been thoroughly tested. user,house and company models don't have enough validations, like valid year, phone no should be only numbers.Creating a company while creating a user doesn't link that company to the user. it has to be done manually later�"
1,"There are some indentation issues, but otherwise the code has method names in line with convention over configuration and the spacing and line spacing are reasonable. Also, IDs should not be on the UI. The house hunters and realtors should not have to sign in after signing up."
0,There are a lot of not-so-important comments in the controllers. And a lot of DRY code
0,"This team has done a good job of following Rails conventions. There are DB migrations, common layouts of the application structure and proper use of ActiveRecord helpers."
0,The code seems very good. And the code is very clearly.
0,The Git code did follow the good coding practices using Ruby and Rails.�
0,"All files they provided are clearly structured, especially for the routes file. They provide clear routes for different conditions."
1,"The user interface has a very basic look and feel. The sign up links being on every page is not ideal. There should only be a log out link. Also, the company in the realtor page is showing the id, not the company's name. I suggest you use a drop down menu for the preferred contact of the house hunter who is signing up. It would be much more intuitive to have a single sign-in page for all users. There were also missing back buttons."
0,Yes. The UI is easy to use. But the dashboard could be made better . As every task is written on the same line
0,"While links and navigation were generally easy to find, several links rendered broken pages and several got stuck in a loop asking me to log in as an Admin to edit a user when I was already�logged in.�"
0,"For all user, sign up and log in should at the same place."
0,"The UI had good directives between operations, functionalities and was easy to use. The admin profile was available in the README file."
0,"The readme file is blank, so I cannot get access to the admin functions. The user interface is clear but not so well-structured. For example, the title appears after the different choices. And all the choices are list in a single line."
1,"While a thorough controller test exists, there is no model test."
1,The admin model performed mostly all the required specifications. The realtor and house hunter models could be made better.
1,"Yes, there were some improvements that I noticed while testing the site features in the review duration which included modifications to view list of all houses created by company of which realtor is a part. The program has scope for minimal improvements to make it function as needed."
1,"Of the functionality the team have tried to to implement, the code quality is not poor. However, the arrangement of code is difficult to understand given that not all functionalities seem to have been implemented. The ""def after_sign_in_path_for"" function in the applications controller used by the devise gem, only takes realtor as a resource, I would advise using an if or case condition within the function to allow other users to login. Also, I was unable to find any implementation for making sure that only the inquiries specific to a real estate company be visible to a realtor, and similarly only the inquiries posted by a house hunter themselves be visible to the house hunter on that specific house. I would again suggest using some If or case statements in the show function of the inquiries controller to establish identity of current_user.�"
1,recompany could have been just company
0,"Yes, it is."
0,Code seems to follow the Ruby Practices.
0,Lot of unnecessary directories are created in 'controller'
0,Code is written in a clean and readable way. There are separete methods for separate tasks.� Good naming convention is followed throughout the project.
1,"The code is clean and readable. Every method handles only one task. However there are two controllers for house hunters and realtors which I felt was redundant. These could have been merged and written in a single controller. There is no bad naming in the project, they have followed the naming conventions. There are no long methods. Methods have been written concisely and in a readable way."
0,The team seems to have attempted to add to their functionality from the previous round. They have attempted to use the devise gem for allowing multiple user logins. It seems that they created a new git repo and started from the beginning which seems like a fair idea given that they wanted to use devise instead of implementing the user registration/sessions.�
0,"Yes, they have keep commit to git as their project been working.�"
0,"Fewer commits on the project, More towards the deadline date."
0,"Most of the commits are within the last 2 days before submission of project. Yes, commits for round 2 are provided properly."
0,The team submitted their changes towards the end of the project. They committed changes in round 2.
1,"Though the commits started late in the project's life, there were commits frequently and also after round 1. The commit messages could have been a little more descriptive to fully comprehend the commit changes.�"
1,"The belongs_to and has_many conditions have been set by the team on the model.rb files. But there are no foreign indexes on schema.db file. I would advise using; Model foreignModel_id:dataType:index with scaffold generate to add a foreign key and in case of devise generated tables I suggest creating a foreign key with a new migration. Here's a stackoverflow link that shows how to do that, https://stackoverflow.com/questions/16257116/adding-foreign-key-to-a-rails-model"
0,"Yes, there is a ""has_many"" relationship in company model, and also realtor is able to create mutliple house in one company."
1,From the Code DB Design looks fine. They have handled most of the relationships properly. Although I believe having different tables for admins/realtors/hunters/users/roles and role maps is un-necessary and just increases the complexity of the system.�
0,"The relationship between house hunter, realtor and companies have been well established."
0,"The AWS deployment attempted by the team does not work. I attempted to clone the repository and run it locally but was unable to. Looking at the code itself, I was able to determine that the wishlist, replying to an inquiry functionalities are missing.� I am unsure why the team opted use the devise model generator for the companies model. The companies aren't a type of user on this project from my understanding and rather a resource. Would it be possible for the team to use a scaffold generate instead?"
0,"They got pretty much every basic functions in the app. But I am not sure where should I login as an admin. and there are some small bugs. There will display two ""logout"" button after you login as a hunter. Back does not work well.�"
0,"I cannot access the link provided by the team. Since this is hosted on AWS, I believe they have not opened the Ip to public by mistake (I have worked with AWS before and this happens). Maybe they worked from Library or their house, and when you spawn an instance in AWS it adds the IP from where the instance is spawned to the access list, which is why I am not able to access this from my IP. This can also be a problem with the proxy server setup in the instance and since you guys are maybe doing ssh into the server to deploy your code, the default HTTP request will go to port 80 and wont be forwarded to 8080 unless explicitly specified in apache/nginx and will block the requests. Easier way would be to host the app on heroku which handles all this automatically and provides you with a DNS entry"
0,"The link submitted is not live. As a result, I could not test if the system is working as it is supposed to."
0,"The given link does not work and gives the following error: This site can�t be reached�18.224.197.227�refused to connect. Hence, cannot comment on the functionalities."
0,The APP URL provided didn't work
0,"The Overall System works as it is supposed to.However,there are few functions which are not implemented. Realtors' Page: Validations for phone number have not been written because a phone number of length less than 10 is getting accepted by the system during sign up of a realtor. Houses does not start from 1 under the ""Your Houses"" section in the realtors page. Your Houses 2�3� Delete house option is not provided under the realtors page.The functionality to change from realtor to house hunter and vice versa is not provided.Functionality to edit or delete a company under the realtors page is not implemented. House Hunters' page: House hunter should not be able to update and create new houses but these links are provided under the house hunter page. Although the functionality of update and create new house has not been implemented. It gives out the following error messages.� Error messages-  ActionController::UrlGenerationError in Houses#show   Showing�/home/ubuntu/OODD/ooddHMS/app/views/houses/show.html.erb�where line�#60�raised: No route matches {:action=>""show"", :controller=>""realtorprofile"", :id=>nil}, missing required keys: [:id]  NoMethodError in HousesController#new � undefined method `houses' for nil:NilClass �"
