Mitigation,Comments
0,The design pattern seems not sound for just displaying an UML.
0,Two UML diagram helps viewer to digest the processing model.
0,"The author just added some sentences from google doc.


I am giving some suggestions:


1. brief discussion of 2 lines what is the functionality, why the previous project was rejected, what changes you are needed to be done. ( project purpose)


2. your project can be divided into 5 issues. showing due dates, showing submission links, file uploads. each of these issues can be divided into problem, solution and design sections.(project design) .


3. As explained in the doc I think you people need to implement test-driven development. Try to add some more matter to it."
1,"The page involves the problem statement and the analysis as well as the test plan, generally it is complete with all the clear structure and adequate content, but in the analysis part they should provide more explanation about the way they did and try to design how they will do to realize those appearance on the page."
0,Looks pretty informative.
0,The design document addresses all the major headings that are necessary.
0,"The mockups are good, but it lacks explanation on changes needed to be done in the files."
0,"The design document has been started upon very nicely, including a lucid and concise problem statement and how they have planned the changes, screenshots make it easier to follow on which pages they are planning to make changes. But the test plan seems to be just one sentence long for both TDD, UI testing. I think that the team can work on planning their tests and mentioning their approach properly in the design doc. Also I found why team is taking such steps is missing from the document, adding on which the design doc would be better."
1,The documentation seems to be incomplete. Not much details about the design or test plan is shared. No UML diagrams given.
0,"Following things are missing-


1)UML Diagrams


2)Database structures for tables that are going to be used.


3)Way of problem approach"
0,"Yes, in the design doc, we can see the Problem Statement, Design Analysis, Test Plan, all these sections are necessary. Especially for the UI Testing, the newly added functionality would be tested manually by the UI testing. The time line added should show the deadlines and the recently made changes to the project by reviewer or the author. It should also navigate author to the page he wants through the preview link provided for each stage in timeline."
0,"The design doc looks complete with important aspects related to the project covered, project purpose and future test plan. Couldn't see a detailed design analysis though."
0,Use case diagram is missing. The test plan needs to be more detailed
0,The project purpose are not explained clearly and so does the test plan. I think you should talk more about how you solve the problems with more details.
0,Project purpose is defined clearly. But the project design and the approach to generate those timestamps is missing.
0,All parts are completed.
0,"1. The design document is very well written.


2. The most important part which is missing in the document is Use case diagram or data flow diagram or any other UML diagrams.


3. The document includes existing limitations and tasks involved which is explanatory.


4. The team has also included information about the database which is very important."
0,yes most of the sections are available
0,The page is complete and has a good flow. All sections include adequate details.
0,"The design document is very comprehensive and well organized. It includes everything from the problem statement, the design to the test plan and visual diagrams."
0,"All the important things like Project purpose, design, and its test plan have been thoroughly explained and documented. The project description includes ""At present the calibration functionality is limited"", which uses calibration, so it will be better to explain calibration first and then use it or explain calibration somewhere else. As calibration is used various times in the description, its explanation seems to be very important."
0,"The project purpose, project design, and/or testing plan have been stated in the design doc. But I think that you guys should add some comments about use case and draw a use case chart in order to understand your project deeply. What's more, the content about how to set up an expertiza environment should be deleted from your doc, because I think it makes no sense here."
0,"The design doc is very completeness, include the introduction, the problem(clearly classified), how to solve the problem, design idea as well as the test plan, all of them are full with many details and logic is clear."
0,"The design doc could have included a separate section for ""project purpose"", ""project design"". The test plan section is already present, so that seems in place."
0,The required sections are present in the doc and seem to complete.
0,"The design document is thorough with the problem statement, the proposed design, and the testing plan. However, it does not address the steps that will lead to the change and how are they proposing to work on the desired features."
0,"Their design document is very complete. They have a detailed instruction, what and why they proposed such way to solve the problem, and they have a very detailed diagram to show the control flow."
0,All design doc gives a sense of completeness as they have exhaustively covered everything ranging from installation to the test plan.
0,"The team has provided enough details about their project in the design document including Problem statement, the work to be done and test plan."
0,"The author has explained each of project purpose, design and test plan in detail and therefore the document is complete."
0,"The document involves all required sections.


But after giving details on setting up Expertiza, the author has jumped directly to the problem statement. Some background information would have been helpful for understanding.


In existing limitations, the very first point says:


1, No support for varying rubric by round feature.


it is hard to understand this, as to what rubric they are talking about and why its a limitation.


So some background information and explanation on why its a limitation and what is the expectation can be included."
0,"As mentioned earlier, the project design is not explained thoroughly, hence difficult to say if each functionality will work correctly."
0,"The functionalities have been covered up to a good extent, but just one one proposed diagram as timeline has been showed."
0,All the functionalities are mentioned.
0,The design document addresses the feature that they are asked based on the Final Project document.
0,"Which page shpould have the implemented code?


Give us a clear idea."
0,"they have involved most of the requirement of the functionality, especially for visualizing the timestamps of the items, they give a sketch graph of what it will be like on the page, however, for the hyperlink part i did not see their design of that, which should be added."
0,"The author didn't explain the functionality at all.


Suggestion:


explanation about the method that the team is planning to draw graph would have been helpful .Like using javascript or some gems."
0,Appears to be complete
0,"Yes, the design doc explain the functionality required well, especially for the time line designed. 


In this project a time line in the student task list page would be added to navigate student to the due dates and the necessary links easily and keep a track of them. After the addition of the functionality, the student task list page would have the timeline as shown below.(Actual visualization of the page might differ from the static page displayed). We will be using HighGraphs to generate the timeline."
0,All the functionality required are covered.
0,All the functionalities are stated but not clearly explained
0,"Yes, all the functionality are covered in the  design document."
0,"The changes proposed by the team seem to be fine, the files which they have planned to work on upon with why those files is a good step but the writeup on the whole misses completeness, as the testing plan is not sufficient, although screenshots have been put up proper explanation is missing. Also giving the timeline option on task list is a good approach, but apart from it, the timeline associated with each deadlines or timestamps can be shown on that particular assignment page also. Proper explanation is missing on the whole."
0,Need more explanation what exactly they are going to do. Just file names are not enough.
0,The authors have provided visual aids and a design analysis. They can add additional description to make their document even better for readers to follow.
0,just one diagram is shown
0,"They have provide very good graph to show the UI design in the page, but the explanation is not enough, for the part they design the timestamp, which has a good appearance but lack of explanation of why they do the every step, should try to say more about the details."
0,"No information added at all by the author.


As suggested add problem, solution, and design for each issue. in the design section add UML diagrams, Images and tables used."
0,No explanation provided.
0,"I think some UML diagram, or database tables are needed. For a design doc, these elements will make the doc easier to read and understand."
0,Simple and clear explanation along with the files names which need to be changed mentioned. Explanation was easy to understand.
0,Explanation about the approach to solve the problem is needed.
0,I think the explanations lack detailed information of how they achieve the changes step by step.
0,"The author has stated only the objectives of the project. Though the screenshot shows the expectation, there is no use case diagram stating the actors involved"
0,No new methods are mentioned. No class diagram given.
0,Design is  proper and seems to be a good and simplified approach to solve the timestamps for student submissions.
0,More effort should be expended on the design.
0,The Design appears sound and I don't see any flaws with the plan.
0,"looks good, but no implementation details."
0,"The designs seems not so complicated and easy to understand, there is no code involved in the page so there is no methods in wrong class, all of their work is to show more information on the page, which will not influence the response time."
0,"suggestions:


1. mention the code snippet where the changes are made in each issue section so that it will be easy to follow for the reviewer.


2.As already said explain about the gem or javascript library you are planning to use for this project."
0,Nothing about implementation is specified and hence cannot tell anything about design
0,The methods and the code that the author plans to add is not available in the design document.
0,The system approach seems to be good.
0,"They didn't mention the code changes in the design doc, so I can not judge this. But i think the response time will not be influenced too much."
0,"Design sounds good with no smelly code, also doesn't look complicated."
0,No classes is introduced in the design doc.
0,No UML diagrams given.
0,screenshots have been provided along with the expected change but there is no UML diagram
0,Mockups are informative. But there are no UML or class diagram.
0,The design document has screenshots for the design analysis but there aren't any UML diagrams to help aid reader understanding.
0,"Future view is displayed, but flow of details that will hapen is not given"
0,"They have provide the graph of UI design in the page about the timestamps part, it is a good design but i really think if that appears in the page will take too much space and seems not compatible with other contents, so I suggest they should make the arrow smaller and maybe narrow the content box just to a line of word and if user want to see the details they can click a link to unfold the content."
0,Only screenshots are provided. Use case and UML diagram are missing.
0,The time chart for submission timeline helped in understanding the flow of the project. Enough details to make the reader understand what the team is planning to accomplish.
0,"No UML diagrams in provided in the design doc, such use case or sequence diagram, but the mockups of screens they provided are pretty well. Especially for the time line design."
0,No visual aids
0,"2nd and 3rd images are helpful. these images basically explain how the page looks after the graph is integrated. It would have been much better if some matter is added on top of the images.


Suggestions:


1. The first image is of no use because it's just a login page.


2. 3rd graph would have better because this graph needs to have due dates, hyperlinks, file uploads.


3. UML diagram explaining how code integrates with each other would be of great help."
0,UML diagrams are missing
0,The diagrams are okay but I think there are much space to improve.
1,"1. The design document has a very good description about the problem requirements.


2. The document does not have any diagrams which show the flow  of implementation.


3. There is no information regarding application flow is missing. I would suggest you to include this particular daigram. Because it helps to understand what exactly you are doing in the project. 


4. The important use case diagram is missing."
1,"1. The description about the problem requirements is written.


2. The source called credly has been mentioned which they will be using for the most important part of the project.


3. All the functionalities are properly explained in the document."
1,"1. The authors have explained the design clearly in the all the sections.


2. The diagrams are always better because they are self explanatory. I would suggest you to include the diagrams.


3. The description is easy to follow and is adequate."
1,"1. The authors have described the problem requirements properly in the requirement specification unit.


2. The authors are clear about the methods and where to add them.


3. The design is simple but again there are no flow diagrams which can explain.


4. I could not find any information regarding the response time of the system in the document.


5. The team should spend more time to analyze each and every requirement and also to make some UML diagrams."
1,"1. The images are included in the preliminary mocks section.


2. There are no diagrams at all to check for the helpfulness.


3. The diagrams are necessary to help understand the project. I strongly suggest you to include the diagrams.


4. No UML diagrams are present in the document."
0,Many blank titles have been added to the document without any explanation whatsoever.
0,Only the basic requirements of the project documentation are discussed.
0,The explanation only discussed what is given in the documentation. Some more explanation could have been given towards possible implementation methods which would have made the documentation easily understandable.
0,The design talks very little about the implementation of the project.
0,No Visual aids have been provided to explain project other than the badges the team is going to use.
1,"The problem description explains clearly about the feature and it was very easy to follow and understand.


However while going through the document I realised that similar content is provided in all the sections like Project description, Problem statement, requirement specification.


So the order can be changed to Background, Problem statement, Project requirements and all the above content can split and put in these categories. That way the flow of the document will be nice and easy for readers.


In the requirements, the files to be added are mentioned. So those files could have been listed under Files Modified/Added section rather than leaving the section empty."
1,"The entire functionality provided in the project description is covered in the document.


The author can include the files involved section in the document which was given in the project description."
1,"the changes to be made are very well explained. They have split the tasks in various sections which makes it easy to follow. However for certain points, a small explanation can be given below that as to why they are doing this task and why the db needs to be changed or UI needs to be modified for this."
1,"The topic says lgithweight badging system but how I am not able to understand how it is lightweight. Because it will take time for all the images to load for the instructor as well as the student. So if the response time should be maintained, you can provide some explanation for that."
1,"There is no UML diagram or flowchart provided. The badge icons are included, but where exactly they plan to place the badge in the instructor view and in the student view can be shown by taking a screenshot of existing view and adding these icons or showing arrows for their location. That way it would have been very easy for the reader to understand."
0,"Design doc gives us the brief information about what is the requirement of this project but it does not tell us about how team is going to implement those changes.


Testing plan is not included in the doc."
1,"Design incorporate all the functionalities which are required, but it does not tell us about the testing plan."
0,"team has not proposed any changes which they are planning to do. Design doc consists of only requirements, Project description. nothing is mentioned regarding proposed changes."
1,"Team has not proposed any major changes that need to be done in this project. 


So I cant comment on the methods which they want to change in particular class.


Design changes explained by team are not complicated.


Cant comment on the response time of the system."
0,team has only mentioned the preliminary mocks for the different badges. Except that there are no visual aids in this doc
0,Most of the document is incomplete
0,No functionality written
0,The author hasn't proposed any changes
0,No design proposed
0,no Diagrams included
0,Well the understanding of the project is good but there is no test plan and more importantly the action plan is not clear like what modules and methods need to be changed.
1,More description as to what are modules and methods will be added and why they are needed and maybe a brief of design patterns which improve the design.
1,"Adequate explanation is given for program description, current work and the work that is needed to be done."
1,Badges required are given properly. They can try to add uml diagram of flow diagram to better explain the design plan or action plan.
0,The design document is incomplete. Only the subheading are added. The actual plan of work is not mentioned
0,All the required functionalities are mentioned
1,The content is easy to follow
0,Design should be refactored to consider the use of existing gems
0,There are no visual aids provided.
1,"The details of project purpose and design plans are clearly specified. However, they have not explicitly stated the files that will be modified and testing plan. They can include a class/ UML diagram to represent the relationship and structure of the classes."
1,Most of the functionalities are specified but they are not detailed as in they haven't explained the designing pattern.
1,Explanations are provided but using proper subheadings and diagrams can make it easier for user understanding.
1,Explanations are properly provided but no specific implementation is explained.
1,They have provided the table names but they need to add UML diagrams and a visualization of tables they will create as it becomes easy to follow.
0,I see that the wiki contains the page copied from the projects document page nothing else is added.
0,"As mentioned I see no details in wiki, how you implement, Use cases, tests etc"
0,I see no changes proposed to tackle the problem
0,Please go through the additional comments to see the expectation of wiki page
0,As mentioned no UML diagrams
0,"No design at all mentioned in wiki page.


I want to give some suggestions:


1. There are different tables that need to be added. Show a UML diagram how these are related."
0,"The author had exactly copy pasted from google doc. So there is nothing much to review.


Suggestions:


1. Add a description on top of the page which explains brief background about the project.(project purpose)


2. it seems there are 5 issues in your project. add problem, solution and design for each issue so that it makes easy for the reviewer to review.


3. Some functionalities like ""badge should be configurable"" can be tested with RSpec. Add a test plan section for each section"
1,"The wiki does not have any explanation at all.


I am trying to give some suggestions.


1. explain your solution clearly in solution section of each issue.


2. add pictures of dummy tables in the design section."
0,"1.No methods are added in wiki at all bu author). My suggestion is also to add code in solution section of each issue so that it will be easy for reviewer to understand the code.(add method(s) to a wrong class


2. Add UML diagrams, Dummy tables, and screenshots so that design won't look complex.(new designs look complicated)"
0,"the team had copy pasted the images also from google docs which does not seem good at all.


As suggested


1. Add dummy tables ""badges"", ""assignment_badges"", ""awarded_badge"".


2. This project has completely new functionality so adding a UML diagram of whole structure will be helpful."
0,There are a few missing sections in the design doc
1,"The author finished part of the project and posted it in the design doc, there are some other parts still need to implement, e.g. the file changed, and work completed part."
0,"After checked the final project doc provided in syllabus, I think the author posted every requirements  in their design doc, which is a very good job."
1,"Because the author didn't post their implementation part, so I can't know what they have changed."
0,"In the  project requirement part, the author post idea of the design of database, including added the primary key and foreign key, I think these changes are no problem."
0,"In this current version, there are no many visual aids available."
0,Files to be modified is remaining
0,"Yes, almost all functionality is covered."
0,Well explained.
1,Some of the problems could be to elaborate more on number of files to be changed.
0,No UML diagram present
1,Project is described well. Test plan is not complete.
0,The functionality is completely covered as mentioned in the requirements
0,All the feature requirements and approaches are explained adequately
1,The approach seems to be good in terms of DB. UI could be refactored a little
0,No UML or use case diagram or screenshots are provided. Difficult to visualize what is about to be developed
1,"the project is a continuation. 


the current design document does not have much content. 


so many headings are there but there is no content under them yet maybe because implementation has not started."
0,"yes it shows the description along with requirements of the project. 


they are stated clearly."
0,"the explanation is very easy to understand. 


the preliminary mocks help."
0,the design is very good and hows whatever is required.
1,"there is only a preliminary mock used. 


there could be a flow chart used to make the design more visually appealing"
1,"-The Wiki page look good, which explains what is the project about


-But there are no screenshots


-There are no UML diagrams


-Didn't describe what files and tables to modify"
1,#NAME?
1,"-They haven't written much in wiki page, can't judge the overall explanation


-The same is present in the google document"
1,"Design proposed is not complicated but a bit broad. The first task states that they found where the problem is, but their approach isn't well explained."
1,The authors have presented what methods need to refactored. They have given an overview of what that refactoring will eventually lead to. It would have been easier to understand if the team had explained how that refactoring will lead to the desired results or how they plan to go about it.
1,The authors have provided just a very narrow solution. Instead of just attaching the code snippet they should have explained it in more detail.
1,The solution for the problem is very easy.
0,Some visual aids need to be added to make the doc more understandable.
0,The design looks a bit complicated as there is no UML diagram.
0,The design doc does not contain any UML diagrams. So it is not easy to understand the design easily.There is no test plan in the design doc.
1,The functionality seems complete to cover the requirements for the project.
1,The changes seem fine in accordance with the requirements.
0,"The team has not given any visual aid in terms of a UML, use case diagram or architectural model that would have helped the reviewer to review better."
1,The team has listed all the scenarios that they are going to cover and the approaches that they are going to use in order to do the same. It looks like a good start in that perspective.
1,"The team has given some thoughts on the list of metrics which can be used, which is appreciatable but could have better explained why they are using it.


For example, They can have cited few actual scenarios where the metrics they mentioned are currently in use."
1,"The design Doc is almost perfect. The code snippets of the current implementation shows only the model part of execution. They team could have added a section about all the controllers and views that are also going to be effected to change or if they think no changes are to be done on that, even that could have been explained."
0,"The team could have added details about their test plan. Also the key concepts of Design principle, Design Patterns though are present in the document needs to be highlighted enough as they are key portions of the design doc.


Example: The team could have added them to separate sections or bolded them out."
0,No visual aids used other than code snippets.
1,Design seems to be adequate.
0,The code is mentioned however no description is given. SO it is hard to follow.
1,COmplete functionality mentioned in detail. Please mentioned a proposed test plan.
1,"The document has been written very well. However, the required submission is mentioned as a wiki page. Please take care of that in future."
0,"The purpose and design are stated completely along with the model improvement, but the test plan is missing and hence the document is only partially complete."
0,The author has failed to provide any visual aid with which understanding the project would become easy.
0,Most of the details are explained well. Test plan was not included.
0,"Only tree_display/list example has been given. So we are not aware of what functionality is being looked upon in other 3 use cases





2)expertiza.ncsu.edu/review_mapping/response_report


3)expertiza.ncsu.edu/grades/view


4)expertiza.ncsu.edu/users/list"
1,"The example given tells about the aim but does not cover how exactly they will achieve it. For example, the document just talks about reducing delay, minimizing SQL calls but have they explored if it is really necessary to make those calls or in reality its possible to reduce calls. We are provided no data on that. For now its just being assumed that they can reduce calls."
1,I think the in depth analysis is required whether what they are thinking is possible or not. They should provide an example as in if they can reduce SQL calls without affecting the functionality.
0,The visual aids are appropriately used.
0,"The design documents includes the project purpose, project design but is missing the testing section. They should include how the team plans to check the refactored code to check bugs and if any existing functionality breaks by adding this refactoring. Even if there are existing tests present which will automatically check their refactoring, I think they should mention it in the wiki page to clarify."
0,Yes the design incorporates all the functionality which is basically identifying the pages decreasing the performance of Expertiza. The team seems to have followed it well.
0,"The authors have only mentioned what code they will change, but haven't mentioned the changes they will make, so can't really judge if their work will make the code smelly or violate the DRY principle or things like that,"
0,"At most places, the visual aids have been used well in the favor of the team, they have explained them well. I felt the explanation of the first visual aid (Flamegraph statistics) could have included more details, it was hard for me to follow. The author could probably have mentioned how the graph is displayed and what the various terms mean."
0,"The authors have included project purpose as well as project design and described it thoroughly. However, I couldn't find any test plan in the design document. They have proposed a solution however they haven't mentioned how they are going to test it."
0,The authors have incorporated most of the functionalities as mentioned in the requirement document. However they have yet to incorporate test plan in design document as well as UML.
0,The team has proposed a solution which they believe will reduce the cost overhead incurred due to many SQL query calls which results in delayed response of the controller. They have also explained using code snippets which further helps in understanding of the problem.
0,The code that the team plans on incorporating are profiler gems that will not affect the original code in a significant way. The team should try to successfully reduce the lag time with the proposed solution then they would get full points.
0,The graphs used certainly help in understanding the problem a lot better. The team should also try to add UML diagram and test plan in their design document.
1,"Exceptional work.  You guys seem to be 75% done with your project already!  The majority of the project requirements are outlined in the design doc.  There still needs to be work done on the actual refactoring of the code identified as the cause of lag, but I imagine this is still pending.





Is a Test Plan section appropriate for this project?  If so, consider speaking with your mentor about the best way to test, and include a section in your Wiki about it.





Also, I am not sure how much you guys are planning on tackling in terms of refactoring, but it may be helpful to specify which of your fixes apply to which pages ��� e.g., does you your proposed changes improve load times on expertiza.ncsu.edu/tree_display/list only?  Does it affect the other three pages outlined in the project description?  More info here would be helpful."
0,"The design is only missing the actual details of the planned refactoring of the code that has been identified.  Otherwise, all functionality outlined in the project description is included."
0,"The low score here is only to denote that these changes have not yet been proposed.  The team has identified some of the code that will need to be changed, but still needs to decide how exactly the refactoring will be performed."
0,Please see the note above -- the only reason for the low score here is due to the in-progress status of the work.
0,"Overall, the visual aids are very helpful.  It would be helpful to edit the screenshot of the flame graph to make it more understandable (i.e., even with your descriptions I was not able to see how it showed that the controller was slow).





I would also recommend cropping the screenshots that include the MiniProfile boxes and making them larger so it is easier to read.  Again, marking up the screenshots with circles or text will be helpful in understanding what is being viewed."
1,Test plan is missing in the wiki page. Project Design is missing in the wiki page. The authors should include these important missing part.
0,The project design is missing in the document. The authors have included the proposed solution but it should be more comprehensive rather than just attaching the code snippet.
1,The solution looks pretty straight forward. They just need to refactor few things in children_node_ng
0,"The authors have failed to provide any UML, class diagrams. They have not mentioned the use cases as well. I hope they will soon make the changes in the wiki page."
1,"The design doc is quite completeness, structure is plentiful and involved each step of their work, but the weakness is that they did not describe clearly for the task content in the first part of Task Description, reader can not get the main idea of the project at the first glance of the description, btw they should give an explanation about the proprietary words they use otherwise readers will have no idea of that, also they did not include the test plan in their doc."
0,"The design doc has involved completely the requirement mentioned in the topic sheet, they also introduced their idea about how to improve the performance of the specific page as well as gives some basic code, which is quite wonderful."
0,"The team gives adequate explanations about the way they did the work, full of details of every step with vivid picture of the performance."
0,"They provide some of the basic codes of the way to improve the performance of the page response, i did not find any complicated codes needs to be modified, the basic code they give for the first step to give a change."
0,"they give many screenshots for the appearance of the page, as well as some explanations about the graph, i did not find any unreadable diagrams in there wiki page, quite a good one!"
0,All sections are impressive. Sadly the section of test plan is missing. This project would definitely require an automated test plan.
0,All functionalities addressed.
0,"The team has already solved one of the tasks it seems. Yet, the proposed solution for the second task is a bit vague to me. Refactoring of code can happen from various angles. Please mention what exact features you want to refactor in the code snippet present that actually reduces the time time to load the page."
0,Visual aids are descriptive.
0,"The details of the project tasks have been mention well, but no test plan has been shown."
0,yes all has been covered
0,"Most of the work has been well explained, maybe which pages to be optimized could be done much better, as there's a lot of scope to do so."
0,Author did good job. They included proposed solution as well.
0,"Yes, Design incorporate all the functionalities"
0,Authors provided good explanation to the changes they have proposed.
0,Authors plan seems good. They used good approach.
0,Visual Aids are used properly . Authors provided enough details.
0,"The details of project purpose, design, and testing plans are very clearly stated in the doc. It is easier to understand the purpose of the work, I like the Analysis section provided by the author to provide a visual representation of the problem."
0,"Yes, the team has included all the functionalities required to be implemented as a part of the project. I like the project description provided in the document, it already has all the small changes required to be done as part of this project."
1,"I appreciate that author has provided the list of the file needs to be modified and provided the details of analysis done by the author. After reading the write-up, though I know the problem and the details of the functions causing the issue, I am still not able to figure out the solution to the problem. For example,  update_fnode_children method is one which is causing the issue and needs to be refactored but what exactly needs to be modified and how that will improve the performance. I believe this will be included in next submission."
0,"I believe that this part can be better graded as we move ahead and start working on our implementation. Still, if possible now, I will suggest if an author can provide some structure of the code which an author is planning to refactor."
0,"Author has provided enough visual aids in the section ""Analysis of page"" to understand the purpose of the work and the problems related to it."
1,It would be more helpful to label and explain further into the FlameGraph;
0,expands further on the approach for solution
1,Test plan section missing
0,It captures all the required functionality
0,changes are explained comprehensively
1,tmp_res is not an apt variable name
0,visual aids used help understand the design better
1,Test plan is not given in design doc.
0,The design for the project is missing. They have only stated the problem statement.
0,The author have not detailed out the solution. It would be better if they give more details.
1,The author has not provided any UML diagrams.
0,"The project purpose of improving page loading is clear, also design pattern and testing plan are included."
0,The project description follows the requirement about identifying the Expertiza pages needed to be improved and solutions.
1,"The approach part explains how they using flamegraph generation method and statistic to identify loading time. However, the most important solution part is skipped, this section needs more specific explanation."
0,The authors mention how identified component causing the delay.
0,"The design processing is clear, but visual aids is missing. It would be better to add some UML or User Case Analysis."
1,"Everything else looks in order. However, the writeup is missing the part which describes the project purpose. When that is added, the design doc will be complete."
1,The design doc specifies which files and tables need to be changed and also includes the test plan. It looks good for now.
1,"The authors have mentioned what they'll be changing, but have provided few explanations. Detailed explanations will make the purpose and the approach clearer."
1,"For now, none of the designs look like they would make the code smelly, or the response time might increase. Looks good for now."
1,"A couple of images of the badges were included, but no other diagrams like UML diagrams have been used."
1,Limitations to the current system is missing. Project purpose was clearly mentioned in proposed plan. Description of Badges is very important section and it was written very clearly. System overview/ Project design section is not mentioned. But it's contents are partly covered in other areas.
1,"There is a ambigous term Teammate. In one sence the document says that a best member of the team will be awarded a badge of ""good teammate"".


In other sense, it says review other's work. Then the best reviews team will be awarded the badge. So it didn't sound clear who will receive the badge."
1,"The proposed changes are very clear. Only a diagram representing flow of the proposed plan will make the design document more clear and comprehensive.


A system over view section can be added briefing about the project overall."
1,The design looks proper and it's not going to be smelly according to the description in design document. The proposed design looks good enough. Need not spend more time in designing.
1,"Only figure showing 'edit' and 'teammate' are shown in the document. No use case/UML diagrams are shown. Adding a flow chart with nodes like ""add a badge"" and showing actors with permition to access nodes will make the design document more clear."
1,"The document could have been formatted in a better way, also does the project involve building only 2 pages? If so, I do not think it is sufficient work for a group of 3-4 people. They have given sufficient explanation regarding purpose but given no design from an implementation perspective. Test plan section is present."
1,"The design has considered all the required functionalities. 


The authors also have explained what exactly needs to be changed, and their plan for accomplishing the said tasks."
1,Write up is with little to no explanation regarding how their implementation design would look like or is their implementation really is lightweight(Some comments on this)? Overall inadequate writeup.
1,"Mock-ups for badge present, no information of how the code will be implemented, i.e., reusing existing code or completely rewriting. The former is preferred as the latter may lead to smelly code and would involve more rigorous reviews. As a new DB is being added the response will increase, how will this affect User Experience? Thoughts on this would be appreciated."
1,The team could have used additional visual aids to convey their information much more effectively. None of the aforementioned aids were found in the document.
1,"The project purpose, design and testing plan is provided by the authors. However, they have not introduced other important aspects like introduction about Expertiza"
1,The authors have gone through the design document completely and have given the to-do things as is in the requirements document. If they go through the minute details as to how they are implementing it would have been much better.
1,The explanations provided are too abstract and small to follow how the authors are going to implement the changes. They should add more content and explain how they are going to implement it.
1,I think that the team needs to expend more time on the design and write to-do steps after discussing with mentor so that their work is elaborated.
1,The team has used very few diagrams and that too of the badges which they are going to implement this semester. They need to add UML diagrams and a visualization of tables they will create as it becomes easy to follow.
1,"The design doc includes the appropriate headings but fails to explain how they arrived at what changes they are making in tables and why they chose that design. How they are connected. For someone who has not explored the functionality, it is tough to understand this."
1,The idea of assigning badges is pretty straightforward. So I do not think they have missed anything noticeable but again the connection between various changes they propose to make is not obvious. So I cannot comment on how far they have thought about the design.
1,The design incorporates many things but they are just straight forward statements which only the team working can understand. A little bit explanation for each point is required. For example :- what exactly the new method do that they are inserting and how they work together to make the functionality work.
1,"I feel they should expend more effort in the schema design. I do not understand why they have chosen three tables. According to me, one table should be enough that should be indexed along the reward type and existing tables should be modified to add a column with the boolean variables. Again, they have not explained very weel why they chose this schema, so I might be incorrect there."
1,No diagrams for flow of control or how the classes are related is given. That could be added here.
1,No UML diagrams or expected screenshots on how the badges will look like on the page.
1,Functionality wise the doc covers all the requirements
1,Explanations are properly provided for the proposals. But lack of diagrams make it a little bit non intuitive.
1,Visual aids are completely missing. Screenshots of the webpage with badges is expected.
1,"The details of project purpose, design, and testing plans are very clearly stated in the doc. It is easier to understand the purpose of the work, I like the idea of including a section like "" Description of the Badges"". One suggestion, Since I can see additional classes and models coming in as a part of this project, I will appreciate if an author can include a class diagram to represent the relationship and structure of the classes."
1,"Yes, the team has included all the functionalities required to be implemented as a part of the project. I like that author has provided enough details about the models needed to be added as a part of this project. One suggestion, the document shows that some team has already done this project and it was rejected because of some reason. It would be a good idea to include some details about the work done by the other team. Like what was their approach and how things are done differently this time."
1,Author has provided enough details about the proposed changes and I like the idea of the addling one-line description of what changes needed to be done as a part of a modification of each file.
1,"I believe that this part can be better graded as we move ahead and start working on our implementation. Still, if possible now, I will suggest if an author can provide some structure of the classes, which an author is planning to implement."
